"Corner reflector ID","Latitude (deg)","Longitude (deg)","Height above ellipsoid (m)","Azimuth (deg)","Tilt / Elevation angle (deg)","Side length (m)"
00,34.79696927,-118.09653051,660.8001,170.50,12.10,2.4384
01,34.79984856,-118.08698847,661.0346,170.50,8.72,2.4384
02,34.80523754,-118.08738891,660.8103,168.50,8.70,2.4384
03,34.80533833,-118.08194451,661.0063,170.00,8.63,2.4384
04,34.80541548,-118.07637795,661.1691,176.00,11.93,2.4384
05,34.80549370,-118.07080307,661.2388,171.00,11.07,2.4384
06,34.80558475,-118.06522554,661.2659,170.00,10.53,2.4384
07,34.80566982,-118.05966651,661.3290,172.00,13.40,2.4384
08,34.80575786,-118.05402191,661.6192,170.25,14.53,2.3989
09,34.80581412,-118.04891523,661.4594,175.00,10.63,2.4384
10,34.80592545,-118.04336701,661.5282,177.00,9.80,2.4384
11,34.80602485,-118.03773631,661.7594,170.00,14.60,2.3989
12,34.80607395,-118.03230197,661.9272,169.50,8.10,2.4384
13,34.80519273,-118.08441951,660.9506,347.00,11.90,2.4384
14,34.80544055,-118.07891507,660.9611,349.00,10.40,2.4384
15,34.80552372,-118.07328029,661.4016,350.50,14.20,2.3989
16,34.80554864,-118.06786907,661.2979,350.00,8.03,2.4384
17,34.80555364,-118.06262864,661.3356,346.00,11.00,2.4384
18,34.80568768,-118.05642818,661.4569,346.00,8.97,2.4384
19,34.80572729,-118.05175952,661.6215,351.25,13.80,2.3989
20,34.80583804,-118.04635791,661.4600,350.00,10.77,2.4384
21,34.80590045,-118.04033317,661.4660,352.00,8.67,2.4384
22,34.80603168,-118.03506491,661.7260,350.00,10.97,2.4384
23,34.80250472,-118.08580507,661.2304,350.93,21.75,4.8000
24,34.80290944,-118.07664687,661.4524,350.77,22.15,4.8000
25,34.80315665,-118.06878020,661.5301,349.38,21.23,4.8000
26,34.80322858,-118.06058293,661.6505,350.70,22.00,4.8000
27,34.80351995,-118.05228072,661.6920,350.22,22.00,4.8000
28,34.79894065,-118.09480718,661.5730,351.00,11.50,0.7000
29,34.79972489,-118.08951357,661.6174,91.50,34.00,0.7000
30,34.80045797,-118.08431108,661.7171,91.00,33.80,0.7000
31,34.80122329,-118.07909510,661.9690,351.00,16.70,0.7000
32,34.80198195,-118.07379415,661.9133,90.50,33.20,0.7000
33,34.80291897,-118.06751528,662.0107,354.00,20.00,0.7000
34,34.80349615,-118.06339270,662.0780,354.00,21.90,0.7000
35,34.80426739,-118.05812530,662.1417,91.00,31.60,0.7000
36,34.80501200,-118.05289340,662.0678,92.00,31.50,0.7000
37,34.80577951,-118.04767423,662.2166,351.00,28.10,0.7000
